Age,WAR,G,PA,R,H,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
34,1.2,88,294,35,59,15,34,1,36,66,0.235,0.334,0.462,0.797,130,116
28,1.2,74,238,31,49,3,15,18,22,54,0.240,0.317,0.333,0.651,80,68
31,1.2,32,141,22,34,3,16,1,18,26,0.279,0.369,0.418,0.787,121,51
28,1.2,77,246,30,59,7,31,2,14,41,0.260,0.299,0.423,0.722,103,96
29,1.2,83,298,36,68,10,35,22,16,69,0.250,0.301,0.397,0.698,94,108
30,1.2,59,178,20,35,2,18,0,10,38,0.216,0.278,0.315,0.593,66,51
28,1.1,83,307,39,84,10,53,15,18,54,0.301,0.347,0.516,0.863,123,144
30,1.1,73,145,21,34,7,16,10,9,52,0.258,0.310,0.439,0.749,104,58
30,1.1,41,134,14,32,1,15,3,14,28,0.288,0.385,0.387,0.772,121,43
22,1.1,54,202,18,46,3,16,11,15,56,0.261,0.343,0.347,0.690,90,61
27,1.1,84,272,33,57,2,20,9,36,49,0.249,0.360,0.328,0.688,94,75
27,1.1,52,158,25,30,3,13,0,18,36,0.229,0.353,0.351,0.704,99,46
29,1.1,79,261,27,50,6,28,5,22,76,0.209,0.276,0.331,0.606,71,79
27,1.1,62,212,29,55,7,35,2,7,27,0.275,0.302,0.465,0.767,110,93
27,1.1,95,416,45,103,5,35,23,34,87,0.277,0.340,0.374,0.713,100,139
22,1.1,28,105,21,29,10,27,0,10,38,0.309,0.371,0.713,1.084,189,67
32,1.1,56,125,15,26,4,15,4,8,27,0.226,0.280,0.391,0.671,85,45
35,1.1,85,262,34,53,6,28,1,27,61,0.230,0.321,0.365,0.686,91,84
33,1.1,47,145,17,37,3,14,1,11,25,0.289,0.348,0.414,0.762,115,53
25,1.1,67,219,26,50,2,23,8,19,42,0.253,0.321,0.338,0.659,84,67
23,1.1,65,282,30,58,7,28,13,32,61,0.238,0.330,0.389,0.719,103,95
27,1.1,64,283,45,66,14,44,21,30,98,0.264,0.350,0.472,0.822,124,118
28,1.1,74,295,36,69,10,33,1,40,40,0.280,0.386,0.455,0.842,131,112
30,1.1,93,374,42,106,8,32,3,13,35,0.296,0.318,0.433,0.751,102,155
28,1.1,55,171,20,46,2,24,0,20,19,0.311,0.398,0.473,0.871,140,70
25,1.1,61,205,30,46,10,30,0,19,53,0.254,0.337,0.475,0.812,123,86
27,1.1,26,81,13,21,4,11,0,10,20,0.300,0.395,0.571,0.966,166,40
26,1.1,67,228,25,48,13,36,5,23,53,0.236,0.316,0.483,0.799,122,98
23,1.0,53,172,24,38,7,23,0,12,40,0.245,0.308,0.419,0.727,104,65
23,1.0,79,244,21,62,3,34,5,14,21,0.272,0.313,0.404,0.716,101,92
29,1.0,94,420,37,87,4,38,14,36,33,0.233,0.305,0.326,0.631,78,122
25,1.0,57,184,19,39,7,20,1,20,46,0.241,0.322,0.407,0.730,97,66
21,1.0,54,217,28,51,8,20,0,28,53,0.271,0.364,0.468,0.832,136,88
24,1.0,31,119,23,27,4,22,2,13,26,0.273,0.356,0.515,0.871,125,51
23,1.0,95,403,49,91,10,44,9,24,71,0.246,0.298,0.400,0.698,92,148
23,1.0,96,361,39,70,12,34,9,31,85,0.218,0.292,0.377,0.669,87,121
31,1.0,22,78,11,23,1,11,2,8,14,0.343,0.421,0.478,0.899,150,32
27,1.0,38,155,20,40,2,7,6,10,33,0.282,0.335,0.387,0.723,98,55
31,0.9,52,201,23,43,6,23,0,23,34,0.249,0.338,0.382,0.720,100,66
29,0.9,91,381,53,80,7,47,6,48,76,0.244,0.341,0.375,0.716,100,123
32,0.9,51,219,28,34,10,25,1,28,59,0.182,0.292,0.374,0.667,93,70
25,0.9,77,254,30,56,8,28,5,13,54,0.236,0.280,0.384,0.663,87,91
25,0.9,93,373,44,85,14,51,6,28,60,0.249,0.309,0.428,0.737,103,146
21,0.9,24,89,10,19,0,7,6,12,14,0.257,0.360,0.324,0.684,91,24
26,0.9,84,231,28,43,8,27,4,26,71,0.214,0.304,0.348,0.653,84,70
25,0.9,45,158,18,34,1,13,7,20,36,0.246,0.342,0.326,0.668,89,45
